city_name,ref_year,metabolite_name,daily_mean_concentration,nuts_code,gdp
Krakow P,2020,methamphetamine,1.67,PL213,18095350000.0
Graz,2019,cocaine,154.19,AT221,23593740000.0
Kranj,2024,methamphetamine,0.73,SI042,5559740000.0
Brno,2017,amphetamine,9.02,CZ064,20479020000.0
Munich G,2014,MDMA,18.06,DE212,102171890000.0
Magdeburg,2020,amphetamine,114.45,DEE03,8664380000.0
Nicosia (2),2022,amphetamine,3.19,CY000,29645400000.0
Salzburg,2023,MDMA,6.9,AT323,25463730000.0
Klaipeda,2023,MDMA,8.27,LT023,7655210000.0
Pori,2022,cocaine,6.63,FI196,9063630000.0
Brno,2021,methamphetamine,545.74,CZ064,27338030000.0
Purgstall,2020,MDMA,4.64,AT121,8407580000.0
Nicosia (2),2021,cocaine,47.68,CY000,25679890000.0
Eindhoven,2017,MDMA,165.08,NL414,38784890000.0
Lleida,2023,cocaine,879.41,ES513,15081500000.0
Steyr,2023,cannabis,86.59,AT314,8058970000.0
Berne,2021,cocaine,501.37,CH021,81126220000.0
Mariehamn,2018,amphetamine,57.43,FI200,1286200000.0
Karlovy Vary,2022,MDMA,10.06,CZ041,4605180000.0
Amsterdam,2020,cannabis,247.53,NL321,12017310000.0
Wien,2022,cannabis,83.12,AT130,110821730000.0
Bucharest,2024,amphetamine,4.97,RO321,94002780000.0
Maribor,2022,MDMA,13.79,SI032,7208570000.0
Mariehamn,2022,MDMA,3.13,FI200,1484720000.0
Nuremberg,2017,amphetamine,41.65,DE254,31495250000.0
Antwerp Zuid,2014,amphetamine,212.95,BE211,45233290000.0
Plzen,2023,methamphetamine,317.82,CZ032,15251140000.0
Dresden,2020,MDMA,16.94,DE142,8079780000.0
Athens,2019,cannabis,52.56,EL303,31523570000.0
Dresden,2021,MDMA,12.72,DE142,8918990000.0
Kokkola,2018,methamphetamine,1.59,FI1D5,2585950000.0
Karlstad,2024,ketamine,4.0,SE313,10971020000.0
Dresden,2016,MDMA,12.72,DE142,7476990000.0
Zagreb,2022,amphetamine,99.81,HR050,22314500000.0
Vilnius,2020,cocaine,70.99,LT011,21386240000.0
Munich G,2023,amphetamine,30.93,DE212,150229490000.0
Munich G,2019,amphetamine,26.18,DE212,126673680000.0
Ljubljana,2023,cannabis,137.36,SI041,25242650000.0
Ostrava,2021,methamphetamine,684.14,CZ080,21414230000.0
Copenhagen,2018,cocaine,465.72,DK011,57489620000.0
Kufstein,2022,methamphetamine,2.06,AT335,13992460000.0
Castellon,2017,cocaine,319.5,ES522,15506000000.0
Mariehamn,2020,methamphetamine,0.0,FI200,1186240000.0
Uppsala,2019,amphetamine,114.48,SE121,16563910000.0
Prague (2),2024,cocaine,501.72,CZ010,86596180000.0
Brussels,2024,cocaine,1186.34,BE100,108152970000.0
Bratislava C,2023,MDMA,13.9,SK010,34184650000.0
Helsinki,2019,MDMA,44.06,FI1B1,95372380000.0
Zurich,2019,methamphetamine,64.53,CH040,142202870000.0
Tallinn,2022,methamphetamine,27.41,EE001,22098580000.0
Dublin,2024,cannabis,98.1,IE061,279799600000.0
Bratislava C,2017,MDMA,10.15,SK010,24671250000.0
Piestany,2018,cannabis,17.96,SK021,10018620000.0
Wasserverband Hofsteig,2019,amphetamine,18.08,AT342,14158270000.0
Eindhoven,2014,amphetamine,203.73,NL414,32781440000.0
Berne,2016,methamphetamine,8.51,CH021,73063030000.0
Berne,2019,methamphetamine,20.27,CH021,75541110000.0
Lleida,2023,ketamine,8.87,ES513,15081500000.0
Wasserverband Hofsteig,2023,cocaine,271.05,AT342,16220270000.0
Wasserverband Hofsteig,2023,amphetamine,16.83,AT342,16220270000.0
Karlovy Vary,2020,amphetamine,31.78,CZ041,3658020000.0
Brno,2024,cannabis,72.31,CZ064,34861310000.0
Rovaniemi,2022,amphetamine,78.88,FI1D7,8219840000.0
Maribor,2022,amphetamine,20.24,SI032,7208570000.0
Helsinki,2024,methamphetamine,22.89,FI1B1,108495710000.0
Stockholm (2),2016,cocaine,144.14,SE110,146144810000.0
Santiago,2019,MDMA,15.04,ES114,21720800000.0
Milan,2016,methamphetamine,13.77,ITC4C,174842710000.0
Vilnius,2024,amphetamine,57.16,LT011,36173710000.0
