city,year,metabolite_name,daily_mean_concentration
Barcelona,2021,methamphetamine,62.13
Barcelona,2022,mdma,45.53
Barcelona,2022,amphetamine,24.8
Barcelona,2022,cannabis,151.1
Barcelona,2022,cocaine,622.26
Barcelona,2022,methamphetamine,56.09
Barcelona,2022,ketamine,29.45
Barcelona,2023,mdma,54.82
Barcelona,2023,amphetamine,36.63
Barcelona,2023,cannabis,220.63
Barcelona,2023,cocaine,619.47
Barcelona,2023,methamphetamine,59.9
Barcelona,2023,ketamine,52.18
Barcelona,2024,mdma,47.17
Barcelona,2024,amphetamine,41.91
Barcelona,2024,cannabis,220.68
Barcelona,2024,cocaine,349.44
Barcelona,2024,methamphetamine,52.36
Barcelona,2024,ketamine,55.96
Basel,2012,mdma,14.61
Basel,2012,amphetamine,0
Basel,2012,cocaine,281.22
Basel,2012,methamphetamine,0
Basel,2013,mdma,23.09
Basel,2013,amphetamine,33.89
Basel,2013,cocaine,436.64
Basel,2013,methamphetamine,12.94
Basel,2014,mdma,23.36
Basel,2014,amphetamine,16.56
Basel,2014,cocaine,453.47
Basel,2014,methamphetamine,14.13
Basel,2015,mdma,9.55
Basel,2015,amphetamine,39.5
Basel,2015,cocaine,42.51
Basel,2015,methamphetamine,60.67
Basel,2016,mdma,24.77
Basel,2016,amphetamine,27.4
Basel,2016,cocaine,435.17
Basel,2016,methamphetamine,18.97
Basel,2017,mdma,31.31
Basel,2017,amphetamine,31.54
Basel,2017,cocaine,562.86
Basel,2017,methamphetamine,37.04
Basel,2018,mdma,22.92
Basel,2018,amphetamine,37.03
Basel,2018,cocaine,585.35
Basel,2019,mdma,21.94
Basel,2019,amphetamine,35.16
Basel,2019,cannabis,18.37
Basel,2019,cocaine,716.63
Basel,2019,methamphetamine,37.37
Basel,2021,mdma,17.65
Basel,2021,amphetamine,39.77
Basel,2021,cocaine,708.08
Basel,2021,methamphetamine,53.6
Basel,2022,mdma,21.68
Basel,2022,amphetamine,45.85
Basel,2022,cannabis,132.45
Basel,2022,cocaine,837.83
Basel,2022,methamphetamine,34.5
