,Year,Metabolite,Site ID,Country_x,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean,nuts_code,GEO (Codes),GEO (Labels),GDP (M EUR),Country_y
91,2024,cannabis,CZ001,CZ,Brno,69.14,80.68,71.12,81.56,58.43,65.63,79.59,76.47,69.19,72.31,CZ064,CZ064,Jihomoravský kraj,34861.31,CZ
92,2024,cannabis,CZ003,CZ,Karlovy Vary,72.62,85.07,71.44,64.18,74.18,67.38,68.94,75.54,69.29,71.97,CZ041,CZ041,Karlovarský kraj,5381.52,CZ
93,2024,cannabis,CZ004,CZ,Ostrava,65.98,52.27,83.99,59.31,68.13,51.12,49.92,56.06,65.64,61.53,CZ080,CZ080,Moravskoslezský kraj,27398.34,CZ
94,2024,cannabis,CZ005,CZ,Plzen,115.83,99.73,101.5,96.42,124.84,96.82,102.76,106.11,104.9,105.41,CZ032,CZ032,Plzeňský kraj,15512.85,CZ
95,2024,cannabis,CZ006,CZ,Prague (2),76.96,74.8,78.38,89.54,77.63,87.64,77.51,76.42,83.3,80.35,CZ010,CZ010,Hlavní město Praha,86596.18,CZ
96,2024,cannabis,DK001,DK,Aalborg,77.87,83.2,125.86,76.62,101.26,114.49,55.05,72.04,104.56,90.62,DK014,DK014,Bornholm,1684.4,DK
97,2024,cannabis,DK002,DK,Aarhus,72.08,56.69,80.49,58.35,57.56,75.04,58.5,62.42,67.86,65.53,DK042,DK042,Østjylland,51837.47,DK
98,2024,cannabis,DK003,DK,Copenhagen,124.11,122.03,99.23,163.17,110.84,117.51,126.52,124.22,122.69,123.35,DK011,DK011,Byen København,76296.4,DK
99,2024,cannabis,DK006,DK,Odense,73.8,86.93,73.86,52.36,91.49,91.07,79.33,80.02,77.2,78.41,DK031,DK031,Fyn,23636.72,DK
100,2024,cannabis,FR005,FR,Paris Seine Centre,58.16,37.44,58.5,49.97,55.48,56.45,61.13,52.24,55.1,53.88,FR101,FR101,Paris,279937.5,FR
101,2024,cannabis,HR001,HR,Split,7.88,5.51,3.8,4.82,4.86,4.27,3.32,5.57,4.44,4.93,HR035,HR035,Splitsko-dalmatinska županija,7803.49,HR
102,2024,cannabis,HR002,HR,Zagreb,78.42,85.51,97.59,,88.34,96.1,83.15,82.36,94.01,88.8,HR050,HR050,Grad Zagreb,29116.76,HR
103,2024,cannabis,HU001,HU,Budapest,63.33,59.64,51.58,52.6,50.99,56.0,,62.1,52.79,56.78,HU110,HU110,Budapest,80200.67,HU
104,2024,cannabis,IE001,IE,Dublin,94.16,102.11,99.39,98.71,95.85,90.15,106.37,100.88,96.02,98.1,IE061,IE061,Dublin,279799.6,IE
105,2024,cannabis,LU002,LU,Luxembourg,160.39,102.33,170.13,80.54,112.33,108.47,248.58,170.43,117.87,140.4,LU000,LU000,Luxembourg,86180.28,LU
106,2024,cannabis,NL001,NL,Amsterdam,415.23,351.26,348.28,246.54,242.86,298.66,333.37,366.62,284.09,319.46,NL321,NL321,Kop van Noord-Holland,16678.58,NL
107,2024,cannabis,NL002,NL,Eindhoven,130.46,123.72,84.56,116.91,136.16,137.86,142.78,132.32,118.87,124.64,NL414,NL414,Zuidoost-Noord-Brabant,63114.07,NL
108,2024,cannabis,NL012,NL,Zwolle,97.95,101.52,88.92,97.17,106.55,114.07,80.93,93.46,101.68,98.16,NL213,NL213,Twente,33948.84,NL
109,2024,cannabis,PT003,PT,Porto,52.12,53.75,52.24,49.05,67.69,56.79,44.52,50.13,56.44,53.74,PT11A,PT11A,Área Metropolitana do Porto,46966.66,PT
110,2024,cannabis,SE003,SE,Karlstad,37.25,35.71,43.52,34.15,37.19,34.51,35.54,36.16,37.34,36.84,SE313,SE313,Gävleborgs län,10971.02,SE
111,2024,cannabis,SE005,SE,Stockholm (2),63.57,54.96,55.5,52.96,52.83,68.3,55.17,57.9,57.4,57.61,SE110,SE110,Stockholms län,179239.89,SE
112,2024,cannabis,SI002,SI,Koper,90.14,81.87,70.85,94.6,83.29,54.19,98.2,90.07,75.73,81.88,SI044,SI044,Obalno-kraška,3453.46,SI
113,2024,cannabis,SI003,SI,Kranj,38.97,51.44,39.76,35.84,70.06,38.33,45.14,45.18,46.0,45.65,SI042,SI042,Gorenjska,5559.74,SI
114,2024,cannabis,SI004,SI,Ljubljana,90.05,79.65,73.83,106.88,68.7,87.24,125.12,98.27,84.16,90.21,SI041,SI041,Osrednjeslovenska,26920.69,SI
115,2024,cannabis,SI005,SI,Maribor,49.01,56.51,38.29,89.39,114.44,60.5,46.62,50.71,75.65,64.97,SI032,SI032,Podravska,8635.78,SI
116,2024,cannabis,SI007,SI,Novo mesto,50.16,46.64,41.08,31.36,35.23,24.94,28.44,41.75,33.15,36.84,SI037,SI037,Jugovzhodna Slovenija,4274.12,SI
117,2024,cannabis,SI008,SI,Velenje,72.33,71.63,62.9,68.29,65.17,65.41,71.53,71.83,65.44,68.18,SI034,SI034,Savinjska,7108.66,SI
118,2024,cannabis,SK002,SK,Bratislava C,56.64,61.83,64.67,53.13,56.17,60.82,55.97,58.15,58.7,58.46,SK010,SK010,Bratislavský kraj,36496.5,SK
119,2024,cannabis,SK004,SK,Piestany,60.31,51.21,46.44,51.12,51.29,50.25,55.78,55.77,49.77,52.34,SK021,SK021,Trnavský kraj,14997.09,SK
120,2024,cannabis,TR002,TR,Ankara,18.54,18.99,15.34,20.35,12.92,19.56,12.29,16.6,17.04,16.86,TR510,TR510,Ankara,131357.81,TR
121,2024,cannabis,TR004,TR,Istanbul (II-VII),17.25,16.9,14.85,14.78,16.31,18.99,16.54,16.9,16.23,16.52,TR100,TR100,İstanbul,365742.18,TR
122,2024,cocaine,BE002,BE,Antwerp Zuid,1744.35,2176.28,2478.85,2739.28,1648.74,1778.56,1412.75,1777.8,2161.36,1996.98,BE211,BE211,Arr. Antwerpen,67609.83,BE
123,2024,cocaine,BE007,BE,Brussels,837.34,1073.23,1067.19,1650.68,1423.61,1310.94,941.4,950.66,1363.1,1186.34,BE100,BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,108152.97,BE
124,2024,cocaine,CY005,CY,Nicosia (2),46.28,24.07,39.54,65.56,61.07,23.56,44.7,38.35,47.43,43.54,CY000,CY000,Kýpros,34770.17,CY
125,2024,cocaine,CZ001,CZ,Brno,125.31,138.0,135.97,265.08,255.65,270.22,163.49,142.27,231.73,193.39,CZ064,CZ064,Jihomoravský kraj,34861.31,CZ
